candidate_id,name_tr,name_en,target_state,preferred_source,candidate_1_food_id,candidate_1_name_en,candidate_1_name_tr,candidate_1_category,candidate_1_calories_100g,candidate_1_protein_100g,candidate_1_carbs_100g,candidate_1_fat_100g,candidate_1_fiber_100g,candidate_1_sugar_100g,candidate_1_sodium_mg_100g,candidate_1_score,candidate_2_food_id,candidate_2_name_en,candidate_2_name_tr,candidate_2_category,candidate_2_calories_100g,candidate_2_protein_100g,candidate_2_carbs_100g,candidate_2_fat_100g,candidate_2_fiber_100g,candidate_2_sugar_100g,candidate_2_sodium_mg_100g,candidate_2_score,candidate_3_food_id,candidate_3_name_en,candidate_3_name_tr,candidate_3_category,candidate_3_calories_100g,candidate_3_protein_100g,candidate_3_carbs_100g,candidate_3_fat_100g,candidate_3_fiber_100g,candidate_3_sugar_100g,candidate_3_sodium_mg_100g,candidate_3_score,match_status,review_note
wl_001,Su,Water,plain,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_002,Maden Suyu (Sade),Plain mineral water,plain,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_003,Soda (Sade),Club soda,plain,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_004,Türk Çayı (Şekersiz),Black tea unsweetened,unsweetened,USDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_source_match,No USDA candidates passed strict scoring filters.
wl_005,Türk Çayı (Şekerli),Black tea with sugar,sweetened,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_006,Yeşil Çay (Şekersiz),Green tea unsweetened,unsweetened,USDA,6587,Ready-to-drink Green Tea Unsweetened,İçime hazır i̇çime hazır yeşil çay şekersiz,İçecek,0,0,0,0,0,0,7,47.8571,,,,,,,,,,,,,,,,,,,,,,,,,likely_match_manual_check,Plausible USDA candidate — manual review required before catalog update.
wl_007,Bitki Çayı (Şekersiz),Herbal tea unsweetened,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_008,Ihlamur Çayı,Linden tea,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_009,Papatya Çayı,Chamomile tea,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_010,Türk Kahvesi (Sade),Turkish coffee unsweetened,unsweetened,USDA,1262,Brewed Coffee,Demlenmiş kahve,İçecek,2,0.3,0.17,0,0,0,1,19.2857,,,,,,,,,,,,,,,,,,,,,,,,,wrong_or_weak_match,Weak name/category alignment — do not auto-import.
wl_011,Filtre Kahve (Sade),Brewed coffee black,unsweetened,USDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_source_match,No USDA candidates passed strict scoring filters.
wl_012,Espresso,Espresso,plain,USDA,1884,Espresso,Espresso,İçecek,9,0.12,1.67,0.18,0,0,14,85,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_013,Americano,Americano,plain,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_014,Latte,Latte,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_015,Cappuccino,Cappuccino,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_016,Flat White,Flat white,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_017,Mocha,Mocha coffee,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_018,Sütlü Türk Kahvesi,Turkish coffee with milk,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_019,Ayran,Ayran,prepared,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_020,Kefir,Kefir plain,plain,USDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_source_match,No USDA candidates passed strict scoring filters.
wl_021,Tam Yağlı Süt,Whole milk,whole milk,USDA,5123,Whole Milk,Tam yağlı süt,Süt Ürünleri,64,3.28,4.65,3.66,0,0,49,85,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_022,Yarım Yağlı Süt,Reduced-fat milk,reduced fat,USDA,5509,Reduced-Fat Milk,Yarım Yağlı Süt,Süt Ürünleri,50,3.35,4.91,1.9,0,0,39,77.8571,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_023,Yağsız Süt,Skim milk,skim milk,USDA,5674,Skim Milk,Yağsız süt,Süt Ürünleri,37,3.57,5.02,0.25,0,5.02,53,75,5678,Nonfat Milk Powder,Yağsız süt tozu,Süt Ürünleri,362,36.16,51.98,0.77,0,51.98,535,45,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_024,Laktozsuz Süt,Lactose-free milk,plain,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_025,Soya Sütü (Şekersiz),Unsweetened soy milk,unsweetened,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_026,Badem Sütü (Şekersiz),Unsweetened almond milk,unsweetened,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_027,Yulaf Sütü (Şekersiz),Unsweetened oat milk,unsweetened,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_028,Hindistan Cevizi Sütü,Coconut milk beverage,unsweetened,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_029,Kakaolu Süt,Chocolate milk,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_030,Muzlu Süt,Banana milk,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_031,Portakal Suyu,Orange juice,100% juice,USDA,4646,Orange Juice,Portakal suyu,İçecek,45,0.7,10.4,0.2,0.2,8.4,1,75,4648,Orange Juice Drink,Portakal suyu içeceği,İçecek,54,0.2,13.41,0,0.2,9.36,2,45,2250,Prepared Orange Juice Drink Powder,Hazırlanmış portakal suyu içeceği tozu,İçecek,49,0,12.65,0,0.1,11.8,5,10,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_032,Elma Suyu,Apple juice,100% juice,USDA,3997,Cranberry Apple Juice Drink,Kızılcık-elma suyu içeceği,İçecek,19,0.1,4.7,0,0.1,4.6,5,45,2985,"Apple Juice, From Concentrate, Shelf-Stable",Konsantreden Raf Ömrü Uzun Elma Suyu,İçecek,48.3763,0.0859,11.364,0.2863,0,0,4.872,45,4014,Light Apple Juice Drink,Light elma suyu içeceği,İçecek,22,0,5.1,0.1,0,4.8,13,45,likely_match_manual_check,Plausible USDA candidate — manual review required before catalog update.
wl_033,Greyfurt Suyu,Grapefruit juice,100% juice,USDA,55,Pineapple Grapefruit Juice Drink,Ananas-greyfurt suyu içeceği,İçecek,47,0.2,11.6,0.1,0.1,11.52,14,83.5,537,White Grapefruit Juice,Beyaz Greyfurt Suyu,İçecek,39,0.5,9.2,0.1,0.1,9.1,1,83.5,4643,"Orange Grapefruit Juice, Unsweetened, Canned","Portakal greyfurt suyu, şekersiz, konserve",İçecek,43,0.6,10.28,0.1,0.1,10.18,3,48.5,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_034,Üzüm Suyu,Grape juice,100% juice,USDA,4000,Cranberry Grape Juice Drink,Kızılcık-üzüm suyu içeceği,İçecek,56,0.2,14,0.1,0.1,0,3,83.5,2983,"White Grape Juice, From Concentrate, Shelf-Stable",Konsantreden Raf Ömrü Uzun Beyaz Üzüm Suyu,İçecek,66.135,0.0938,15.8438,0.265,0,0,7.188,83.5,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_035,Nar Suyu,Pomegranate juice,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_036,Vişne Suyu,Sour cherry juice,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_037,Kayısı Nektarı,Apricot nectar,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_038,Şeftali Nektarı,Peach nectar,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_039,Domates Suyu,Tomato juice,any,USDA,2984,"Tomato Juice, From Concentrate, Shelf-Stable",Konsantreden Raf Ömrü Uzun Domates Suyu,İçecek,23.3075,0.8594,4.3206,0.2875,0,0,235.6,83.5,3336,Clam and Tomato Juice,Konserve deniz tarağı ve domates suyu,İçecek,48,0.6,10.95,0.2,0.4,3.31,362,83.5,1317,Canned Red Tomatoes in Tomato Juice,Domates Suyunda Konserve Kırmızı Domates,Sebze,16,0.79,3.47,0.25,1.9,2.55,115,71,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_040,Havuç Suyu,Carrot juice,any,USDA,3073,Canned Carrot Juice,Konserve Havuç Suyu,Sebze,40,0.95,9.28,0.15,0.8,3.91,66,83.5,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_041,Limonata (Ev Yapımı),Homemade lemonade,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_042,Limonata (Şekersiz),Unsweetened lemonade,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_043,Kola,Cola,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_044,Kola Zero,Diet cola,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_045,Gazoz,Lemon-lime soda,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_046,Ginger Ale,Ginger ale,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_047,Tonik Su,Tonic water,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_048,Soğuk Çay,Iced tea,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_049,Soğuk Kahve,Iced coffee,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_050,Enerji İçeceği,Energy drink,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_051,Spor İçeceği,Sports drink,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_052,Elektrolit İçeceği,Electrolyte drink,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_053,Protein Shake (Sütlü),Protein shake with milk,any,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_054,Protein Shake (Su ile),Protein shake with water,any,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_055,Smoothie (Muzlu),Banana smoothie,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_056,Smoothie (Yeşil),Green smoothie,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_057,Smoothie (Çilekli),Strawberry smoothie,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_058,Salep,Salep,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_059,Boza,Boza,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_060,Şalgam Suyu,Turnip juice,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_061,Komposto,Fruit compote drink,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_062,Hoşaf,Dried fruit compote drink,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_063,Sıcak Çikolata,Hot chocolate,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_064,Matcha Latte,Matcha latte,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_065,Chai Latte,Chai latte,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_066,Bubble Tea,Bubble tea,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_067,Kombucha,Kombucha,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_068,Kefir (Meyveli),Flavored kefir,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_069,Ayran (Light),Light ayran,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_070,Süt (UHT Tam Yağlı),UHT whole milk,whole milk,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_071,Krema (Kahve İçin),Coffee creamer,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_072,Buzlu Matcha,Iced matcha,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_073,Frappé,Coffee frappe,any,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_074,Meyve Suyu Karışımı,Mixed fruit juice,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_075,Ananas Suyu,Pineapple juice,any,USDA,1756,"Frozen Concentrate Pineapple Juice, Unsweetened","Donmuş Konsantre Ananas Suyu, Şekersiz",İçecek,179,1.3,44.3,0.1,0.7,43.6,3,83.5,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
wl_076,Mango Suyu,Mango juice,any,USDA,4087,"Mango Nectar, Canned","Mango nektarı, konserve",İçecek,51,0.11,13.12,0.06,0.3,12.45,5,21.6667,,,,,,,,,,,,,,,,,,,,,,,,,wrong_or_weak_match,Weak name/category alignment — do not auto-import.
wl_077,Karışık Meyve Nektarı,Mixed fruit nectar,any,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_078,Limon Suyu (Sıkma),Fresh lemon juice,raw,USDA,4035,"Lemon Juice, Raw","Limon suyu, çiğ",İçecek,22,0.35,6.9,0.24,0.3,2.52,1,69.2143,,,,,,,,,,,,,,,,,,,,,,,,,can_update_from_usda,"Strong USDA match — name, state, and category align; quick human confirm then import."
